epcoh,loss,binary_accuracy,val_loss,val_binary_accuracy
206,0.0315,0.9976,0.8168,0.9606
207,0.0208,0.9984,0.8528,0.9596
208,0.0200,0.9987,0.9089,0.9590
209,0.0184,0.9986,0.9644,0.9569
210,0.0256,0.9982,1.0018,0.9548
211,0.0293,0.9979,0.9999,0.9543
212,0.0279,0.9971,0.9443,0.9559
213,0.0179,0.9983,0.9618,0.9517
214,0.0322,0.9979,0.8851,0.9548
215,0.0158,0.9989,0.8481,0.9585
216,0.0223,0.9984,0.8341,0.9575
217,0.0217,0.9984,0.8425,0.9569
218,0.0212,0.9980,0.8766,0.9575
219,0.0203,0.9988,0.9138,0.9569
220,0.0184,0.9987,0.9478,0.9559
221,0.0209,0.9979,0.9554,0.9564
222,0.0182,0.9987,0.9457,0.9575
223,0.0180,0.9989,0.9044,0.9585
224,0.0170,0.9987,0.8727,0.9590
225,0.0155,0.9989,0.8503,0.9585
226,0.0153,0.9987,0.8420,0.9564
227,0.0156,0.9991,0.8388,0.9569
228,0.0169,0.9980,0.8383,0.9569
229,0.0172,0.9986,0.8418,0.9590
230,0.0143,0.9988,0.8502,0.9585
231,0.0143,0.9989,0.8648,0.9585
232,0.0169,0.9987,0.8879,0.9590
233,0.0145,0.9989,0.9077,0.9596
234,0.0175,0.9984,0.9172,0.9580
235,0.0195,0.9987,0.9130,0.9590
236,0.0166,0.9984,0.9118,0.9596
237,0.0173,0.9986,0.9180,0.9580
238,0.0142,0.9986,0.9262,0.9580
239,0.0158,0.9989,0.9329,0.9580
240,0.0153,0.9986,0.9371,0.9580
241,0.0146,0.9987,0.9412,0.9580
242,0.0158,0.9989,0.9476,0.9601
243,0.0155,0.9987,0.9546,0.9606
244,0.0137,0.9983,0.9626,0.9606
245,0.0152,0.9983,0.9658,0.9606
246,0.0135,0.9988,0.9665,0.9606
247,0.0151,0.9989,0.9619,0.9606
248,0.0132,0.9989,0.9573,0.9606
249,0.0110,0.9987,0.9517,0.9606
250,0.0159,0.9987,0.9438,0.9606
251,0.0125,0.9992,0.9390,0.9590
252,0.0130,0.9992,0.9358,0.9590
253,0.0138,0.9989,0.9361,0.9596
254,0.0123,0.9989,0.9400,0.9596
255,0.0154,0.9984,0.9468,0.9601
256,0.0134,0.9989,0.9536,0.9596
257,0.0157,0.9987,0.9630,0.9585
258,0.0114,0.9992,0.9736,0.9585
259,0.0135,0.9989,0.9765,0.9590
260,0.0161,0.9987,0.9725,0.9590
261,0.0122,0.9992,0.9674,0.9590
262,0.0144,0.9982,0.9588,0.9601
263,0.0157,0.9987,0.9504,0.9611
264,0.0148,0.9982,0.9443,0.9606
265,0.0142,0.9987,0.9407,0.9606
266,0.0135,0.9987,0.9398,0.9606
267,0.0134,0.9987,0.9440,0.9606
268,0.0135,0.9992,0.9480,0.9606
269,0.0177,0.9980,0.9531,0.9606
270,0.0120,0.9987,0.9584,0.9606
271,0.0098,0.9993,0.9655,0.9606
272,0.0150,0.9989,0.9732,0.9606
273,0.0135,0.9982,0.9812,0.9606
274,0.0116,0.9992,0.9861,0.9606
275,0.0107,0.9991,0.9910,0.9606
8/8 [==============================] - 0s 27ms/step
